Time Val Sig
37937 8.01 0
37937.9 7.55 0
37938.9 8.04 0
37940 7.63 0
37940.7 7.91 0
37940.9 7.9 0
38219.9 7.252 0
38220.8 7.908 0
38220.9 7.926 0
38221.8 7.584 0
38221.9 7.407 0
38225.9 8.052 0
38228.9 7.518 0
38229.9 7.988 0
38231.8 8.011 0
38232.9 7.574 0
38233.8 7.846 0
38234.8 7.689 0
38234.9 7.367 0
38235.9 7.996 0
43015.9 8.05 0
43017.9 8.024 0
43052.6 7.198 0
43052.7 7.147 0
43052.8 7.292 0
43052.9 7.457 0
43057.6 7.694 0
43057.7 7.787 0
43057.8 7.892 0
43061.6 7.574 0
43061.7 7.601 0
43061.8 7.633 0
43061.9 7.681 0
43066.7 7.936 0
43066.8 7.96 0
43066.9 7.977 0
43073.6 8.076 0
43073.8 7.707 0
43092.6 7.973 0
43092.6 7.981 0
43094.7 8.07 0
43094.8 8.085 0
43098.6 7.866 0
43104.7 7.719 0
43104.8 7.831 0
43126.7 8.047 0
43403.8 7.489 0
43403.9 7.62 0
43404 7.705 0
43404.6 8.021 0
43404.7 8.044 0
43405.6 7.539 0
43405.7 7.574 0
43405.8 7.606 0
43405.8 7.646 0
43405.9 7.658 0
43406 7.686 0
43406 7.706 0
43406.6 7.859 0
43406.7 7.886 0
43406.8 7.903 0
43406.9 7.937 0
43407 7.962 0
43407.6 7.744 0
43407.7 7.427 0
43407.8 7.262 0
43407.9 7.192 0
43408 7.248 0
43408 7.328 0
43408.6 7.889 0
43408.7 7.928 0
43408.7 7.953 0
43408.8 7.98 0
43411.6 7.882 0
43411.7 7.836 0
43411.8 7.754 0
43411.9 7.707 0
43412 7.625 0
43492.7 8.087 0
43500.6 7.817 0
