Theta,Dist,Dist_min
0,0,0
0.012,0,0
0.024,0,0
0.036,0,0
0.048,0,0
0.06,0,0
0.072,0,0
0.084,0,0
0.096,0,0
0.108,0,0
0.12,0,0
0.132,0,0
0.144,0,0
0.156,0,0
0.168,0,0
0.18,0,0
0.192,0,0
0.204,0,0
0.216,0,0
0.228,0,0
0.24,0,0
0.252,0,0
0.264,0.000179711,0
0.276,0.000449277,0
0.288,0.000898553,0
0.3,0.00179711,0
0.312,0.00287537,0
0.324,0.0034145,0
0.336,0.00404349,0
0.348,0.00530146,0
0.36,0.00772756,0
0.372,0.00943481,0
0.384,0.0114116,0
0.396,0.0138377,0
0.408,0.0158145,0
0.42,0.0184203,0
0.432,0.021116,0
0.444,0.0239015,0
0.456,0.0277653,0
0.468,0.0326175,0
0.48,0.0380088,0
0.492,0.042861,0
0.504,0.0469943,0
0.516,0.0539132,0
0.528,0.0586755,0
0.54,0.0667625,0
0.552,0.0719741,0
0.564,0.0788031,0
0.576,0.0866205,0
0.588,0.093809,0
0.6,0.101806,0
0.612,0.109624,0
0.624,0.11789,0
0.636,0.128493,0
0.648,0.140624,0
0.66,0.15545,0
0.672,0.170096,0
0.684,0.185012,0
0.696,0.200288,0
0.708,0.218888,0
0.72,0.237578,0
0.732,0.256986,0
0.744,0.276036,0
0.756,0.298949,0
0.768,0.323479,0
0.78,0.34765,0
0.792,0.371103,0
0.804,0.396981,0
0.816,0.425824,0
0.828,0.457633,0
0.84,0.489172,0
0.852,0.525923,0
0.864,0.560787,0
0.876,0.595381,0
0.888,0.632941,0
0.9,0.673645,0
0.912,0.710846,0
0.924,0.746428,0
0.936,0.783179,0
0.948,0.818762,0
0.96,0.852098,0
0.972,0.885434,0
0.984,0.918232,0
0.996,0.949322,0
1.008,0.977985,0
1.02,0.994249,0
1.032,0.999371,0
1.044,1,0
1.056,1,0
1.068,1,0
1.08,1,0
1.092,1,0
1.104,1,0
1.116,1,0
1.128,1,0
1.14,1,0
1.152,1,0
1.164,1,0
1.176,1,0
1.188,1,0
1.2,1,0
